Timestep;year;month;day;hour;real_time_measured_MW;monitored_capacity_MW;capacity_factor
438;2015;2;7;5;336.375;1122.51;0.299663255
439;2015;2;7;6;323.19;1122.51;0.287917257
440;2015;2;7;7;337.2825;1122.51;0.300471711
441;2015;2;7;8;317.66;1122.51;0.282990797
442;2015;2;7;9;286.1475;1122.51;0.254917551
443;2015;2;7;10;180.055;1122.51;0.160403916
444;2015;2;7;11;174.5675;1122.51;0.155515318
445;2015;2;7;12;127.1;1122.51;0.11322839
446;2015;2;7;13;128.7;1122.51;0.114653767
447;2015;2;7;14;170.6475;1122.51;0.152023145
448;2015;2;7;15;136.145;1122.51;0.121286225
449;2015;2;7;16;272.89;1122.51;0.243106966
450;2015;2;7;17;263.45;1122.51;0.234697241
451;2015;2;7;18;255.165;1122.51;0.22731646
452;2015;2;7;19;246.5125;1122.51;0.219608289
453;2015;2;7;20;309.0725;1122.51;0.275340531
454;2015;2;7;21;315.06;1122.51;0.28067456
455;2015;2;7;22;301.07;1122.51;0.268211419
456;2015;2;7;23;343.3375;1122.51;0.305865872
457;2015;2;8;0;406.67;1122.51;0.362286305
458;2015;2;8;1;481.32;1122.51;0.428789053
459;2015;2;8;2;475.7025;1122.51;0.423784643
460;2015;2;8;3;555.5575;1122.51;0.494924321
461;2015;2;8;4;595.6425;1122.51;0.530634471
462;2015;2;8;5;653.1925;1122.51;0.581903502
463;2015;2;8;6;662.8125;1122.51;0.590473582
464;2015;2;8;7;659.2475;1122.51;0.587297663
465;2015;2;8;8;677.0625;1122.51;0.603168346
466;2015;2;8;9;622.0575;1122.51;0.554166555
467;2015;2;8;10;617.7275;1122.51;0.550309129
468;2015;2;8;11;691.3925;1122.51;0.615934379
469;2015;2;8;12;632.29;1122.51;0.563282287
470;2015;2;8;13;676.8425;1122.51;0.602972357
471;2015;2;8;14;549.215;1122.51;0.489274038
472;2015;2;8;15;530.61;1122.51;0.472699575
473;2015;2;8;16;431.145;1122.51;0.384090119
474;2015;2;8;17;303.385;1122.51;0.270273761
475;2015;2;8;18;209.4125;1122.51;0.186557358
476;2015;2;8;19;190.9475;1122.51;0.170107616
477;2015;2;8;20;152.6625;1122.51;0.136001016
478;2015;2;8;21;201.11;1122.51;0.179160987
479;2015;2;8;22;149.6575;1122.51;0.133323979
480;2015;2;8;23;136.6975;1122.51;0.121778425
481;2015;2;9;0;124.685;1122.51;0.111076961
482;2015;2;9;1;156.1025;1122.51;0.139065576
483;2015;2;9;2;167.6825;1122.51;0.149381743
484;2015;2;9;3;175.6275;1122.51;0.156459631
485;2015;2;9;4;192.5925;1122.51;0.171573082
486;2015;2;9;5;204.61;1122.51;0.182279
487;2015;2;9;6;228.285;1122.51;0.203370126
488;2015;2;9;7;232.375;1122.51;0.207013746
489;2015;2;9;8;222.2875;1122.51;0.198027189
490;2015;2;9;9;141.305;1122.51;0.125883066
491;2015;2;9;10;94.93;1122.51;0.084569402
492;2015;2;9;11;75.2825;1122.51;0.067066218
493;2015;2;9;12;86.185;1122.51;0.076778826
494;2015;2;9;13;100.04;1122.51;0.0891217
495;2015;2;9;14;125.4075;1122.51;0.111720608
496;2015;2;9;15;143.39;1122.51;0.12774051
497;2015;2;9;16;170.01;1122.51;0.151455221
498;2015;2;9;17;158.29;1122.51;0.141014334
499;2015;2;9;18;131.1875;1122.51;0.116869783
500;2015;2;9;19;94.0625;1122.51;0.083796581
501;2015;2;9;20;83.0825;1122.51;0.074014931
502;2015;2;9;21;75.45;1122.51;0.067215437
503;2015;2;9;22;63.7425;1122.51;0.056785686
504;2015;2;9;23;41.275;1122.51;0.036770274
505;2015;2;10;0;36.0475;1122.51;0.0321133
506;2015;2;10;1;36.785;1122.51;0.032770309
507;2015;2;10;2;36.1875;1122.51;0.03223802
508;2015;2;10;3;36.7325;1122.51;0.032723539
509;2015;2;10;4;43.2275;1122.51;0.038509679
510;2015;2;10;5;47.2275;1122.51;0.042073122
511;2015;2;10;6;50.4575;1122.51;0.044950602
512;2015;2;10;7;56.7625;1122.51;0.050567478
513;2015;2;10;8;59.135;1122.51;0.052681045
514;2015;2;10;9;38.0425;1122.51;0.033890567
515;2015;2;10;10;38.5925;1122.51;0.03438054
516;2015;2;10;11;29.7925;1122.51;0.026540966
517;2015;2;10;12;25.9225;1122.51;0.023093335
518;2015;2;10;13;21.0425;1122.51;0.018745935
519;2015;2;10;14;18.54;1122.51;0.016516557
520;2015;2;10;15;23.42;1122.51;0.020863957
521;2015;2;10;16;59.6025;1122.51;0.053097523
522;2015;2;10;17;116.34;1122.51;0.103642729
