Timestep;Y;M;D;H;AvgOfRealTime
358;2015;2;3;21;11794.50
359;2015;2;3;22;11947.00
360;2015;2;3;23;11896.25
361;2015;2;4;0;11359.50
362;2015;2;4;1;10948.25
363;2015;2;4;2;10553.75
364;2015;2;4;3;10366.25
365;2015;2;4;4;10357.50
366;2015;2;4;5;10746.50
367;2015;2;4;6;11861.75
368;2015;2;4;7;12747.50
369;2015;2;4;8;12973.00
370;2015;2;4;9;13085.00
371;2015;2;4;10;12892.75
372;2015;2;4;11;12888.75
373;2015;2;4;12;12682.75
374;2015;2;4;13;12682.25
375;2015;2;4;14;12515.25
376;2015;2;4;15;12531.75
377;2015;2;4;16;12455.25
378;2015;2;4;17;12754.00
379;2015;2;4;18;13492.25
380;2015;2;4;19;13111.50
381;2015;2;4;20;12498.50
382;2015;2;4;21;11899.25
383;2015;2;4;22;12133.25
384;2015;2;4;23;12043.50
385;2015;2;5;0;11537.00
386;2015;2;5;1;11042.25
387;2015;2;5;2;10676.25
388;2015;2;5;3;10411.75
389;2015;2;5;4;10350.50
390;2015;2;5;5;10684.75
391;2015;2;5;6;11883.50
392;2015;2;5;7;12918.00
393;2015;2;5;8;12943.25
394;2015;2;5;9;13123.50
395;2015;2;5;10;13166.00
396;2015;2;5;11;13116.75
397;2015;2;5;12;12872.25
398;2015;2;5;13;12899.25
399;2015;2;5;14;12843.75
400;2015;2;5;15;12857.25
401;2015;2;5;16;12822.50
402;2015;2;5;17;13174.50
403;2015;2;5;18;13650.50
404;2015;2;5;19;13154.50
405;2015;2;5;20;12505.25
406;2015;2;5;21;11944.75
407;2015;2;5;22;12234.50
408;2015;2;5;23;12314.75
409;2015;2;6;0;11675.25
410;2015;2;6;1;11255.50
411;2015;2;6;2;10851.75
412;2015;2;6;3;10597.50
413;2015;2;6;4;10483.00
414;2015;2;6;5;10817.50
415;2015;2;6;6;11973.75
416;2015;2;6;7;12939.75
417;2015;2;6;8;13031.00
418;2015;2;6;9;13222.25
419;2015;2;6;10;13144.75
420;2015;2;6;11;13107.25
421;2015;2;6;12;12820.75
422;2015;2;6;13;12746.50
423;2015;2;6;14;12541.75
424;2015;2;6;15;12443.00
425;2015;2;6;16;12324.75
426;2015;2;6;17;12521.75
427;2015;2;6;18;13159.00
428;2015;2;6;19;12773.50
429;2015;2;6;20;12209.75
430;2015;2;6;21;11709.75
431;2015;2;6;22;11989.25
432;2015;2;6;23;12122.00
433;2015;2;7;0;11527.75
434;2015;2;7;1;11028.50
435;2015;2;7;2;10592.50
436;2015;2;7;3;10224.25
437;2015;2;7;4;10015.00
438;2015;2;7;5;9937.25
439;2015;2;7;6;10151.00
440;2015;2;7;7;10387.75
441;2015;2;7;8;10776.75
442;2015;2;7;9;11277.25
443;2015;2;7;10;11506.75
444;2015;2;7;11;11633.50
445;2015;2;7;12;11620.75
446;2015;2;7;13;11382.75
