Timestep;Y;M;D;H;real_time_measured_MW;monitored_capacity_MW;capacity_factor
237;2015;1;29;20;385;712.2;0.540578489
238;2015;1;29;21;538.84;712.2;0.756585229
239;2015;1;29;22;579.06;712.2;0.81305813
240;2015;1;29;23;629.47;712.2;0.883838809
241;2015;1;30;0;633.21;712.2;0.889090143
242;2015;1;30;1;658.12;712.2;0.924066274
243;2015;1;30;2;637.62;712.2;0.895282224
244;2015;1;30;3;585.76;712.2;0.8224656
245;2015;1;30;4;486.4;712.2;0.682954226
246;2015;1;30;5;286.2;712.2;0.401853412
247;2015;1;30;6;122.92;712.2;0.172591969
248;2015;1;30;7;24.82;712.2;0.034849761
249;2015;1;30;8;6;712.2;0.0084246
250;2015;1;30;9;0.97;712.2;0.001361977
251;2015;1;30;10;1.23;712.2;0.001727043
252;2015;1;30;11;7.25;712.2;0.010179725
253;2015;1;30;12;38.3;712.2;0.053777029
254;2015;1;30;13;74.38;712.2;0.104436956
255;2015;1;30;14;156.95;712.2;0.220373491
256;2015;1;30;15;222.89;712.2;0.312959843
257;2015;1;30;16;295.63;712.2;0.415094075
258;2015;1;30;17;329.56;712.2;0.462735187
259;2015;1;30;18;368.61;712.2;0.517565291
260;2015;1;30;19;374.01;712.2;0.52514743
261;2015;1;30;20;334.01;712.2;0.468983432
262;2015;1;30;21;275.35;712.2;0.386618927
263;2015;1;30;22;313.55;712.2;0.440255546
264;2015;1;30;23;383.35;712.2;0.538261724
265;2015;1;31;0;356.03;712.2;0.499901713
266;2015;1;31;1;343.44;712.2;0.482224094
267;2015;1;31;2;341.75;712.2;0.479851165
268;2015;1;31;3;331.96;712.2;0.466105027
269;2015;1;31;4;304.6;712.2;0.427688851
270;2015;1;31;5;290.79;712.2;0.408298231
271;2015;1;31;6;231.19;712.2;0.324613873
272;2015;1;31;7;219.36;712.2;0.30800337
273;2015;1;31;8;142.57;712.2;0.200182533
274;2015;1;31;9;111.05;712.2;0.155925302
275;2015;1;31;10;53.45;712.2;0.075049143
276;2015;1;31;11;52.97;712.2;0.074375176
277;2015;1;31;12;55.38;712.2;0.077759056
278;2015;1;31;13;70.53;712.2;0.099031171
279;2015;1;31;14;30.43;712.2;0.042726762
280;2015;1;31;15;55.2;712.2;0.077506318
281;2015;1;31;16;85.78;712.2;0.120443696
282;2015;1;31;17;100.01;712.2;0.140424038
283;2015;1;31;18;89.23;712.2;0.12528784
284;2015;1;31;19;89.89;712.2;0.126214546
